Timestamp,Age range?,Current work situation? ,"Do you use voice dictation, voice notes, or voice-to-text tools in your work? ( e.g., Kivi, Google's voice typing, iPhone dictation, WhatsApp voice notes, Otter.ai, Google Recorder )","How much of your day involves switching between multiple tools/apps (Slack, email, docs, calls, AI Tools)? ",Which AI tool do you rely on most overall? ,"Has an AI ever surprised you by remembering something from an earlier chat like your name, your job, something you like, or a past conversation? ","Overall, how comfortable are you sharing personal data with AI tools (ChatGPT, Claude, Gemini, Kivi, Siri, Alexa etc.)? ", What would AI tools need to do differently for you to trust them more with your data? (checkbox — select all that apply),"Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Project & people context — remembers who's on which project, client names, team roles]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [My working style — how I like emails/messages written, my tone, formatting habits]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Past decisions & discussions — what was already discussed or decided in earlier meetings/calls]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Deadlines & commitments — things I've promised, due dates I've mentioned out loud]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Recurring tasks/routines — things I do every week (status updates, reports, standups)]","Anything else from your work life you'd want it to remember? (optional, short text)  ","Would you want your assistant's work memory to reset for a new job or new team, or should it just add on top of old context? ","Would you be comfortable with your assistant remembering things like performance feedback, salary discussions, or conflicts with a manager/colleague, if you mentioned them? ","Rank these from most to least useful if your assistant remembered them about your personal life   [People & relationships you mention (family, friends, names)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Habits & routines (sleep, workouts, daily patterns)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Preferences (food, entertainment, hobbies)]",Rank these from most to least useful if your assistant remembered them about your personal life   [Personal goals or plans you've mentioned],"Rank these from most to least useful if your assistant remembered them about your personal life   [Recurring personal commitments (birthdays, events, routines)]",Anything else from your personal life you'd want it to remember? (optional and short text),"Which of these would you NOT want an AI to remember automatically, even if you mentioned it in passing? ","Imagine you're dictating a work email and you casually mention something personal — like 'sorry, running late, just left a doctor's appointment.' Should your assistant remember that personal detail too, or should it only pick up on the work-related parts? ","Should personal memory fade over time (e.g., an old hobby or an outdated relationship detail), or should it stay stored until you delete it yourself? ","Would you be comfortable with your assistant remembering sensitive personal moments — like something said during an argument, a health scare, or a low moment — if you mentioned it out loud? ",What would make you MORE comfortable letting an AI remember personal (not work) details about you? ,"What's one thing you wish your AI assistant already knew about you, without having to explain it every time? ","Tell us about a time an AI assistant either really understood you, or got something wrong/made up an answer — what happened? ","What's one thing that would make you trust an AI assistant less, permanently? "
06/09/2026 00:46:36,20-24,Student,Rarely,A few times a day,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,Most useful,Most useful,Most useful,Most useful,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing",,,
06/09/2026 00:53:00,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, once or twice","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",2nd,Most useful,2nd,3rd,3rd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Least Useful,2nd,2nd,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is",Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 01:00:01,20-24,Student,Daily,A few times a day,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",4th,Most useful,3rd,Least useful,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Least Useful,4th,Most Useful,2nd,3rd,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part","Stay stored until I manually delete it, Let me choose, per item","Only if I explicitly say ""remember this"", No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",My way of expressing thoughts and my style ,I was finishing an assignment where i had to bring in a previous report which i completely forgot about but the AI assistant brought it from a memory and it saved me ,Showcase data stored on me and how its not given to cloud and being easy to delete
06/09/2026 01:05:15,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new",Least useful,Most useful,4th,3rd,2nd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Least Useful,3rd,4th,Most Useful,2nd,,Relationship status or conflicts,"No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""",Full visibility into everything it's stored,,,
06/09/2026 01:07:17,20-24,Student,A few times a week,Constantly,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",4th,Most useful,Least useful,3rd,2nd,No,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,Most Useful,Most Useful,Most Useful,Most Useful,NA,Relationship status or conflicts,"Yes, remember it just like anything else",Fade automatically after a while,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 01:11:16,20-24,Working professional (individual contributor),A few times a week,Constantly,Gemini,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,Most useful,2nd,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",4th,2nd,2nd,Most Useful,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","Yes, if it helps me later, Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 01:16:34,24-32,Working professional (individual contributor),Rarely,Constantly,Claude,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new",Most useful,Most useful,Most useful,Most useful,2nd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",3rd,2nd,2nd,2nd,2nd,,Relationship status or conflicts,"No, only remember the work-related part, Depends on how personal or sensitive it is","Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 01:16:38,20-24,Student,Never,Rarely,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",4th,Most useful,Most useful,3rd,Most useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",2nd,Most Useful,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,"Yes, remember it just like anything else","Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",My personality and taste,,
06/09/2026 01:22:12,20-24,Student,Daily,I mostly work in one tool,Gemini,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Never share my data with other companies/products",Most useful,2nd,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",3rd,3rd,2nd,Most Useful,Most Useful,,None of these — I'm fine with all of it,"No, only remember the work-related part, Depends on how personal or sensitive it is","Fade automatically after a while, Let me choose, per item","Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 01:27:03,24-32,Working professional (individual contributor),Daily,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,2nd,Most useful,Most useful,,Let it figure out what's still relevant on its own,"No, keep sensitive work topics out entirely",2nd,Most Useful,Most Useful,2nd,Most Useful,,"Relationship status or conflicts, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this""","Knowing it only remembers what I explicitly shared, never what it inferred","Career background, professionally in details.",Nothing as such.,If the data storage control access are taken away from me.
