id,captured_at,app,destination,project,client,style,raw_asr,formatted_text,duration_ms,mode,plant
rec-0001,2026-07-06T09:30:00+00:00,Notion,Halo spec,Halo,Acme,structured,hello is acme's internal operations tool and i own the design system work on it.,Halo is Acme's internal operations tool and I own the design system work on it.,3634,dictation,project_context_Halo
rec-0002,2026-07-06T10:00:00+00:00,Slack,#halo-build,Halo,Acme,casual,remember that for acme i always keep updates to three short paragraphs no bullet points.,"Remember that for Acme I always keep updates to three short paragraphs, no bullet points.",4450,dictation,style_acme_1_explicit
rec-0003,2026-07-06T10:00:00+00:00,Slack,#halo-build,Halo,Acme,casual,let's use the blue slides for tomorrow's halo review just for that one,"Let's use the blue slides for tomorrow's Halo review, just for that one.",3168,dictation,ephemeral_1
rec-0004,2026-07-06T10:13:06.315789+00:00,Slack,#ember-ds,Ember,Vertex,casual,cleaned up the old amber branches that were already merged tagged it so it is easy to find later,Cleaned up the old Ember branches that were already merged. Tagged it so it is easy to find later.,3724,dictation,
rec-0005,2026-07-06T11:38:03.157895+00:00,Notion,Halo spec,Halo,Acme,structured,reviewed the pull request for the halo settings screen will pick it up again tomorrow,Reviewed the pull request for the Halo settings screen. Will pick it up again tomorrow.,5394,dictation,
rec-0006,2026-07-06T11:56:12.631579+00:00,Slack,#ember-ds,Ember,Vertex,casual,quick note that the amber staging environment is back up will pick it up again tomorrow,Quick note that the Ember staging environment is back up. Will pick it up again tomorrow.,4806,dictation,
rec-0007,2026-07-06T12:10:00+00:00,Slack,Dev,Halo,Acme,casual,sorry running late i just left a doctor's appointment anyway the hello handoff is ready for review,"Sorry, running late, I just left a doctor's appointment. Anyway, the Halo handoff is ready for review.",4080,dictation,sensitive_health_1
rec-0008,2026-07-06T14:20:00+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,updated the atlas changelog with this week's items will pick it up again tomorrow,Updated the Atlas changelog with this week's items. Will pick it up again tomorrow.,4233,dictation,
rec-0009,2026-07-06T15:40:00+00:00,WhatsApp,Sana,Halo,Acme,casual,therapy ran over so i'm late to the halo sync notes are in notion,Therapy ran over so I'm late to the Halo sync. Notes are in Notion.,3484,dictation,sensitive_health_b6
rec-0010,2026-07-06T16:34:09.473684+00:00,WhatsApp,Dev,Halo,Acme,casual,updated the halo changelog with this week's items,Updated the Halo changelog with this week's items.,2350,dictation,
rec-0011,2026-07-07T09:30:00+00:00,Notion,Atlas spec,Atlas,Northwind,structured,atlas is the northwind platform migration and rohan is the client lead.,Atlas is the Northwind platform migration and Rohan is the client lead.,2840,dictation,project_context_Atlas
rec-0012,2026-07-07T11:00:00+00:00,Linear,HALO,Halo,Acme,terse,for linear tickets i always open with a one-line summary then the acceptance criteria,For Linear tickets I always open with a one-line summary then the acceptance criteria.,5332,dictation,style_linear_1_explicit
rec-0013,2026-07-07T12:00:31.578947+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,updated the atlas changelog with this week's items left a note for priya,Updated the Atlas changelog with this week's items. Left a note for Priya.,3700,dictation,
